 Zeit;01.08.11;02.08.11;03.08.11;04.08.11;05.08.11;06.08.11;07.08.11;08.08.11;09.08.11;10.08.11;11.08.11;12.08.11;13.08.11;14.08.11;15.08.11;16.08.11;17.08.11;18.08.11;19.08.11;20.08.11;21.08.11;22.08.11;23.08.11;24.08.11;25.08.11;26.08.11;27.08.11;28.08.11;29.08.11;30.08.11;31.08.11
06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07:00;6;9;7;12;12;0;0;4;13;11;5;8;0;0;4;6;8;6;6;0;0;7;9;1;5;4;0;0;4;3;1
08:00;12;15;14;19;14;0;0;10;20;18;32;4;0;0;24;13;23;9;9;1;0;20;5;17;18;12;0;0;10;18;21
09:00;18;7;12;11;24;24;0;11;28;17;16;13;19;0;8;13;9;19;18;6;0;11;16;15;8;9;13;0;8;24;16
10:00;16;19;24;19;10;26;0;20;19;39;45;34;24;0;13;18;14;16;25;30;0;16;19;24;25;37;25;0;16;16;21
11:00;30;32;35;10;17;20;24;48;24;41;41;40;35;21;12;30;35;26;17;26;20;26;29;72;32;23;39;22;27;22;35
12:00;46;34;63;39;53;52;30;49;46;53;61;50;30;35;46;37;55;47;39;42;31;49;41;65;60;50;53;27;47;62;62
13:00;61;62;36;51;66;63;32;37;51;62;37;45;53;56;65;37;73;58;60;45;15;39;23;33;38;56;48;26;53;48;50
14:00;48;37;34;57;34;58;41;47;29;54;31;35;79;48;49;65;33;40;58;45;32;39;36;30;48;30;63;58;57;48;45
15:00;54;49;55;52;51;63;95;51;69;58;62;48;80;40;63;59;46;71;43;38;48;28;36;45;39;34;107;62;61;47;64
16:00;52;31;54;44;78;53;57;84;72;86;45;46;105;50;63;46;47;38;76;62;62;50;34;33;58;54;80;57;69;48;44
17:00;71;38;45;39;27;66;65;43;62;37;52;53;58;20;44;29;39;38;33;29;31;19;17;27;39;49;61;32;27;39;48
18:00;25;22;32;21;41;34;39;36;25;24;28;19;18;20;28;26;19;20;15;26;33;9;18;22;49;20;23;14;20;26;18
19:00;9;18;27;14;15;21;11;18;9;16;15;9;31;8;15;18;23;28;5;16;2;19;16;15;15;17;7;7;13;11;6
20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;2;0;1;0;2;0;0;0;0
21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0