Bagel Cream Cheese here;64
Bagel Cream Cheese to go;10
Bagel Fitness here;108
Bagel Fitness to go;43
Bagel Green Garden here;32
Bagel Green Garden to go;5
Bagel India here;53
Bagel India to go;6
Bagel Mexico here;136
Bagel Mexico to go;10
Bagel Morning Star here;25
Bagel Morning Star to go;6
Bagel Peanut Butter here;3
Bagel plain here;31
Bagel plain to go;37
Bagel Roma oder Florenz here;257
Bagel Roma oder Florenz to go;55
Bagel Stulle Deluxe here;81
Bagel Stulle Deluxe to go;30
Brezel Butter here;21
Brezel Butter to go;4
Brezel plain here;63
Brezel plain to go;31
Cafe Creme groﬂ  here;97
Cafe Creme groﬂ  to go;84
Cafe Creme klein  here;296
Cafe Creme klein  to go;177
Caffe Latte mit Sirup here;47
Caffe Latte mit Sirup to go;33
Caffe Latte ohne Sirup here;417
Caffe Latte ohne Sirup to go;225
Cappuccino groﬂ  here;250
Cappuccino groﬂ  to go;140
Cappuccino klein  here;446
Cappuccino klein  to go;97
Chai Tea groﬂ Chai Banana here;12
Chai Tea groﬂ Chai Banana to go;5
Chai Tea groﬂ Chai Tea Latte here;96
Chai Tea groﬂ Chai Tea Latte to go;43
Chai Tea klein Chai Banana here;2
Chai Tea klein Chai Tea Latte here;66
Chai Tea klein Chai Tea Latte to go;21
Chocolate groﬂ Bio-Kakao here;3
Chocolate groﬂ Bio-Kakao to go;1
Chocolate groﬂ black here;37
Chocolate groﬂ black to go;10
Chocolate groﬂ white here;17
Chocolate groﬂ white to go;8
Chocolate klein Bio-Kakao here;5
Chocolate klein Bio-Kakao to go;1
Chocolate klein black here;74
Chocolate klein black to go;16
Chocolate klein white here;21
Chocolate klein white to go;8
Cookie here;136
Cookie to go;84
Cool Latte Iced Caffe here;103
Cool Latte Iced Caffe to go;90
Cool Latte Iced Espresso here;46
Cool Latte Iced Espresso to go;26
Cool Latte Iced Macchiato here;230
Cool Latte Iced Macchiato to go;121
Donut here;176
Donut to go;120