 Zeit,01.06.11,02.06.11,03.06.11,04.06.11,05.06.11,06.06.11,07.06.11,08.06.11,09.06.11,10.06.11,11.06.11,12.06.11,13.06.11,14.06.11,15.06.11,16.06.11,17.06.11,18.06.11,19.06.11,20.06.11,21.06.11,22.06.11,23.06.11,24.06.11,25.06.11,26.06.11,27.06.11,28.06.11,29.06.11,30.06.11,31.06.11
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,3,0,13,0,0,3,12,9,4,10,0,0,0,6,5,7,3,0,0,1,3,4,0,4,0,0,12,2,7,3,0
08:00,14,0,12,0,0,30,16,18,24,10,1,0,0,21,26,18,15,0,0,12,17,21,0,6,0,0,7,7,16,30,0
09:00,8,0,19,26,0,36,21,3,20,25,5,0,0,12,19,15,9,29,0,7,14,26,0,17,27,0,21,16,23,13,0
10:00,17,0,31,25,0,16,30,9,32,30,16,7,3,23,11,24,9,21,2,7,17,16,0,33,19,0,8,11,9,25,0
11:00,25,13,50,49,19,28,29,21,16,31,34,11,14,28,30,23,34,31,9,23,15,34,18,26,50,21,19,23,30,25,0
12:00,42,35,87,40,15,60,68,26,31,38,51,9,22,48,29,65,44,35,25,44,50,41,33,61,33,25,49,47,28,53,0
13:00,47,34,54,65,20,42,45,37,39,48,57,26,28,53,57,46,36,53,38,62,54,50,27,67,60,30,45,33,57,37,0
14:00,48,53,62,90,38,29,43,28,26,49,109,40,64,54,41,34,49,97,51,33,42,27,54,65,84,31,29,16,33,43,0
15:00,37,60,82,90,48,31,43,35,35,41,103,41,68,60,60,42,32,89,69,42,40,33,82,57,79,58,29,21,35,73,0
16:00,46,66,76,114,38,49,51,77,43,64,129,54,54,40,48,37,61,113,95,52,64,36,72,85,98,41,34,29,45,58,0
17:00,29,48,81,74,39,39,39,34,33,52,64,55,35,38,30,30,51,76,74,41,34,30,62,50,64,21,22,23,17,27,0
18:00,11,28,34,14,23,26,20,20,25,34,32,18,24,22,40,18,9,70,53,41,21,24,10,24,25,38,14,22,29,34,0
19:00,8,7,10,17,11,8,7,14,13,22,28,6,5,11,2,6,15,23,20,15,15,11,23,13,5,13,7,34,8,4,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,2,2,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
