Bagel Cream Cheese here;58
Bagel Cream Cheese to go;12
Bagel Fitness here;127
Bagel Fitness to go;40
Bagel Green Garden here;24
Bagel Green Garden to go;1
Bagel India here;35
Bagel India to go;6
Bagel Mexico here;81
Bagel Mexico to go;9
Bagel Morning Star here;25
Bagel Morning Star to go;4
Bagel Peanut Butter here;2
Bagel Peanut Butter to go;1
Bagel plain here;32
Bagel plain to go;38
Bagel Roma oder Florenz here;262
Bagel Roma oder Florenz to go;61
Bagel Stulle Deluxe here;74
Bagel Stulle Deluxe to go;22
Bagel Vital here;1
Brezel Butter here;26
Brezel Butter to go;3
Brezel plain here;61
Brezel plain to go;24
Cafe Creme groﬂ  here;129
Cafe Creme groﬂ  to go;107
Cafe Creme klein  here;324
Cafe Creme klein  to go;170
Caffe Latte mit Sirup here;67
Caffe Latte mit Sirup to go;52
Caffe Latte ohne Sirup here;413
Caffe Latte ohne Sirup to go;297
Cappuccino groﬂ  here;283
Cappuccino groﬂ  to go;189
Cappuccino klein  here;471
Cappuccino klein  to go;149
Chai Tea groﬂ Chai Banana here;18
Chai Tea groﬂ Chai Banana to go;10
Chai Tea groﬂ Chai Tea Latte here;123
Chai Tea groﬂ Chai Tea Latte to go;64
Chai Tea klein Chai Banana here;2
Chai Tea klein Chai Tea Latte here;88
Chai Tea klein Chai Tea Latte to go;34
Chocolate groﬂ Bio-Kakao here;4
Chocolate groﬂ Bio-Kakao to go;2
Chocolate groﬂ black here;74
Chocolate groﬂ black to go;39
Chocolate groﬂ white bring in;1
Chocolate groﬂ white here;32
Chocolate groﬂ white to go;8
Chocolate klein Bio-Kakao here;8
Chocolate klein Bio-Kakao to go;3
Chocolate klein black here;94
Chocolate klein black to go;28
Chocolate klein white here;29
Chocolate klein white to go;14
Cookie here;156
Cookie to go;134
Cool Latte Iced Caffe here;63
Cool Latte Iced Caffe to go;70
Cool Latte Iced Espresso here;25
Cool Latte Iced Espresso to go;18
Cool Latte Iced Macchiato here;172
Cool Latte Iced Macchiato to go;119
Donut here;191
Donut to go;85