 Datum;01.09.11;02.09.11;03.09.11;04.09.11;05.09.11;06.09.11;07.09.11;08.09.11;09.09.11;10.09.11;11.09.11;12.09.11;13.09.11;14.09.11;15.09.11;16.09.11;17.09.11;18.09.11;19.09.11;20.09.11;21.09.11;22.09.11;23.09.11;24.09.11;25.09.11;26.09.11;27.09.11;28.09.11;29.09.11;30.09.11;31.09.11
Cookie here;0;5;6;5;6;4;11;5;5;4;4;10;9;7;1;6;7;9;4;4;4;4;8;5;4;4;3;7;1;4;0
Cookie to go;6;4;3;0;2;7;7;4;6;5;1;0;5;6;3;2;8;1;6;2;5;4;3;4;4;13;10;2;2;9;0
Cool Latte Iced Caffe here;2;1;9;0;1;1;0;1;1;9;3;4;1;0;2;3;1;0;0;0;1;5;2;1;3;1;2;0;5;4;0
Cool Latte Iced Caffe to go;2;0;9;0;1;1;0;0;1;4;2;0;2;0;3;0;3;0;0;4;1;1;1;14;6;1;4;0;6;4;0
Cool Latte Iced Espresso here;2;3;4;0;0;0;1;0;0;1;3;1;0;1;1;0;0;0;1;1;1;0;0;2;1;0;1;0;1;0;0
Cool Latte Iced Espresso to go;0;1;1;0;0;0;0;1;0;2;0;1;1;0;0;3;0;0;0;0;0;1;0;0;2;1;1;1;2;0;0
Cool Latte Iced Macchiato here;5;5;13;4;5;7;2;4;2;16;9;1;10;5;6;8;12;0;0;2;7;3;7;8;7;4;8;3;1;8;0
Cool Latte Iced Macchiato to go;4;3;8;1;3;3;0;1;2;19;0;3;1;2;3;1;7;0;1;2;4;1;6;7;6;10;7;4;2;8;0
Donut here;4;9;1;3;5;6;11;8;16;12;8;6;2;9;3;6;23;8;4;4;2;5;9;9;4;3;4;3;1;3;0
Donut to go;3;2;2;1;2;4;0;6;3;8;0;3;0;1;0;0;1;10;3;1;3;2;1;9;7;1;2;1;5;4;0