 Zeit,01.09.11,02.09.11,03.09.11,04.09.11,05.09.11,06.09.11,07.09.11,08.09.11,09.09.11,10.09.11,11.09.11,12.09.11,13.09.11,14.09.11,15.09.11,16.09.11,17.09.11,18.09.11,19.09.11,20.09.11,21.09.11,22.09.11,23.09.11,24.09.11,25.09.11,26.09.11,27.09.11,28.09.11,29.09.11,30.09.11,31.09.11
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,2,4,0,0,2,3,3,6,3,0,0,9,10,2,8,4,0,0,9,13,6,9,5,0,0,3,10,9,8,3,0
08:00,15,13,0,0,23,4,14,12,14,0,0,26,13,19,16,13,0,0,17,28,12,11,26,0,0,27,17,23,17,26,0
09:00,32,13,24,0,11,14,16,22,18,20,0,20,22,6,38,24,9,0,21,23,10,11,43,18,0,28,23,36,29,32,0
10:00,24,14,31,0,19,27,11,32,20,40,0,28,30,16,32,27,22,0,23,11,16,15,22,20,0,18,27,22,25,23,0
11:00,30,37,35,27,25,34,23,24,35,43,22,41,14,19,30,25,57,25,19,25,31,26,35,48,14,21,33,35,17,28,0
12:00,45,36,44,14,60,56,37,50,44,55,24,77,41,62,46,47,34,44,49,32,35,38,58,35,23,38,68,30,39,46,0
13:00,32,30,52,29,51,56,74,29,32,69,38,55,63,42,48,48,78,33,55,50,56,50,46,54,35,50,49,59,32,42,0
14:00,56,44,32,56,51,51,57,58,56,71,38,58,35,51,68,51,80,49,27,45,49,39,42,113,42,51,37,52,51,62,0
15:00,46,48,73,84,76,57,86,52,64,90,64,31,52,57,45,56,125,99,48,32,39,47,68,115,76,60,37,53,54,52,0
16:00,57,47,61,47,55,53,59,75,60,68,70,64,48,56,44,62,82,62,65,37,49,49,52,98,86,46,63,44,41,46,0
17:00,32,52,61,32,35,65,43,52,55,64,56,41,41,45,38,54,65,41,58,35,35,33,47,78,79,34,41,26,36,68,0
18:00,31,31,28,19,21,19,28,32,22,21,18,36,12,39,25,36,31,25,21,20,37,26,24,50,38,16,20,29,25,36,0
19:00,13,27,9,2,8,3,22,8,15,15,22,6,7,17,14,10,19,22,10,13,6,16,13,15,15,16,5,7,12,16,0
20:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
