 Zeit;01.07.11;02.07.11;03.07.11;04.07.11;05.07.11;06.07.11;07.07.11;08.07.11;09.07.11;10.07.11;11.07.11;12.07.11;13.07.11;14.07.11;15.07.11;16.07.11;17.07.11;18.07.11;19.07.11;20.07.11;21.07.11;22.07.11;23.07.11;24.07.11;25.07.11;26.07.11;27.07.11;28.07.11;29.07.11;30.07.11;31.07.11
06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07:00;6;0;0;6;8;4;24;9;0;0;13;9;4;5;9;0;0;4;6;10;10;8;0;0;9;6;2;4;7;0;0
08:00;15;0;0;18;11;35;28;19;0;0;19;17;13;23;19;0;0;18;11;22;21;17;0;0;20;22;33;11;15;0;0
09:00;36;13;0;14;22;30;21;26;13;0;19;31;16;25;33;14;0;22;21;18;23;20;18;0;25;14;29;15;17;18;0
10:00;22;25;0;12;32;14;19;21;37;0;25;27;34;25;23;28;0;15;8;19;15;16;23;0;21;23;34;21;30;68;0
11:00;20;41;23;30;30;20;17;47;14;25;31;48;35;16;35;41;13;40;41;32;41;19;48;24;27;35;16;35;22;46;15
12:00;47;52;20;56;50;46;64;41;19;33;65;44;34;37;66;52;44;68;74;71;58;56;47;24;64;62;57;44;50;44;31
13:00;34;47;52;66;53;47;43;36;47;71;64;43;52;53;49;66;24;57;40;34;66;54;66;44;72;56;69;61;46;110;28
14:00;37;88;51;20;38;17;40;43;115;61;32;26;42;33;47;70;19;65;31;40;60;41;121;64;34;45;58;67;75;121;62
15:00;55;86;73;39;26;37;52;37;71;29;49;35;58;71;53;118;48;41;48;44;33;48;102;89;67;55;41;72;75;119;67
16:00;41;95;81;65;31;40;39;68;103;43;60;37;45;72;51;88;46;44;57;55;59;54;109;61;75;34;46;65;63;122;78
17:00;35;33;50;32;38;38;20;37;73;19;35;29;22;36;41;69;47;64;38;35;53;38;83;56;45;48;72;63;47;70;42
18:00;15;45;8;43;25;25;18;16;26;31;20;16;30;36;19;25;13;27;11;30;26;17;26;13;24;23;22;41;18;30;27
19:00;12;36;12;15;16;15;13;19;14;29;7;5;4;19;9;10;19;8;7;22;15;18;21;15;18;4;20;22;6;25;11
20:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0