Bagel Cream Cheese here;63
Bagel Cream Cheese to go;16
Bagel Fitness here;120
Bagel Fitness to go;34
Bagel Green Garden here;28
Bagel Green Garden to go;10
Bagel India here;80
Bagel India to go;11
Bagel Mexico here;108
Bagel Mexico to go;15
Bagel Morning Star here;29
Bagel Peanut Butter here;5
Bagel Peanut Butter to go;1
Bagel plain here;42
Bagel plain to go;42
Bagel Roma oder Florenz here;287
Bagel Roma oder Florenz to go;80
Bagel Stulle Deluxe here;81
Bagel Stulle Deluxe to go;26
Brezel Butter here;15
Brezel Butter to go;1
Brezel plain here;57
Brezel plain to go;35
Cafe Creme groﬂ  here;131
Cafe Creme groﬂ  to go;87
Cafe Creme klein  here;335
Cafe Creme klein  to go;140
Caffe Latte mit Sirup here;76
Caffe Latte mit Sirup to go;38
Caffe Latte ohne Sirup bring in;1
Caffe Latte ohne Sirup here;490
Caffe Latte ohne Sirup to go;257
Cappuccino groﬂ  here;361
Cappuccino groﬂ  to go;168
Cappuccino klein  here;468
Cappuccino klein  to go;121
Chai Tea groﬂ Chai Banana here;11
Chai Tea groﬂ Chai Banana to go;7
Chai Tea groﬂ Chai Tea Latte here;159
Chai Tea groﬂ Chai Tea Latte to go;43
Chai Tea klein Chai Banana here;2
Chai Tea klein Chai Banana to go;1
Chai Tea klein Chai Tea Latte here;95
Chai Tea klein Chai Tea Latte to go;27
Chocolate groﬂ Bio-Kakao here;4
Chocolate groﬂ Bio-Kakao to go;5
Chocolate groﬂ black here;76
Chocolate groﬂ black to go;32
Chocolate groﬂ Marshmallow Chocolate to go;1
Chocolate groﬂ white here;30
Chocolate groﬂ white to go;13
Chocolate klein Bio-Kakao here;4
Chocolate klein Bio-Kakao to go;1
Chocolate klein black here;111
Chocolate klein black to go;27
Chocolate klein white here;29
Chocolate klein white to go;9
Cookie here;146
Cookie to go;83
Cool Latte Iced Caffe here;100
Cool Latte Iced Caffe to go;85
Cool Latte Iced Espresso here;35
Cool Latte Iced Espresso to go;26
Cool Latte Iced Macchiato here;185
Cool Latte Iced Macchiato to go;103
Donut here;213
Donut to go;143