Bagel Cream Cheese here;45
Bagel Cream Cheese to go;31
Bagel Fitness here;99
Bagel Fitness to go;29
Bagel Green Garden here;37
Bagel Green Garden to go;6
Bagel India here;23
Bagel India to go;1
Bagel Mexico here;42
Bagel Mexico to go;2
Bagel Morning Star here;15
Bagel Morning Star to go;2
Bagel Peanut Butter here;9
Bagel plain here;25
Bagel plain to go;44
Bagel Roma oder Florenz here;240
Bagel Roma oder Florenz to go;56
Bagel Stulle Deluxe here;97
Bagel Stulle Deluxe to go;19
Bagel Vital here;3
Brezel Butter here;24
Brezel plain here;54
Brezel plain to go;18
Cafe Creme groﬂ  here;101
Cafe Creme groﬂ  to go;82
Cafe Creme klein  here;294
Cafe Creme klein  to go;114
Caffe Latte mit Sirup here;107
Caffe Latte mit Sirup to go;54
Caffe Latte ohne Sirup here;462
Caffe Latte ohne Sirup to go;262
Cappuccino groﬂ  here;320
Cappuccino groﬂ  to go;189
Cappuccino klein  here;467
Cappuccino klein  to go;101
Chai Tea groﬂ Chai Banana here;25
Chai Tea groﬂ Chai Banana to go;7
Chai Tea groﬂ Chai Chocolate here;1
Chai Tea groﬂ Chai Tea Latte here;232
Chai Tea groﬂ Chai Tea Latte to go;102
Chai Tea klein Chai Banana here;3
Chai Tea klein Chai Tea Latte here;131
Chai Tea klein Chai Tea Latte to go;49
Chocolate groﬂ Bio-Kakao here;4
Chocolate groﬂ Bio-Kakao to go;1
Chocolate groﬂ black here;122
Chocolate groﬂ black to go;50
Chocolate groﬂ Marshmallow Chocolate here;12
Chocolate groﬂ Marshmallow Chocolate to go;3
Chocolate groﬂ white here;33
Chocolate groﬂ white to go;18
Chocolate klein Bio-Kakao here;12
Chocolate klein Bio-Kakao to go;1
Chocolate klein black here;184
Chocolate klein black to go;39
Chocolate klein white here;63
Chocolate klein white to go;13
Cookie here;259
Cookie to go;126
Cool Latte Iced Caffe here;3
Cool Latte Iced Caffe to go;2
Cool Latte Iced Espresso here;2
Cool Latte Iced Macchiato here;24
Cool Latte Iced Macchiato to go;10
Donut here;231
Donut to go;150
Eiskaffee here;20
Eiskaffee to go;7
Eisschokolade here;37
Eisschokolade to go;23
Eistee here;33
Eistee to go;5
Espresso groﬂ Barista here;4
Espresso groﬂ Barista to go;1
Espresso groﬂ Cuba here;7
Espresso groﬂ Cuba to go;1
Espresso groﬂ Macchiato here;16
Espresso groﬂ Macchiato to go;1
Espresso groﬂ Originale here;54
Espresso groﬂ Originale to go;8
Espresso groﬂ Unplugged here;12
