Bagel Cream Cheese here;41
Bagel Cream Cheese to go;23
Bagel Fitness here;105
Bagel Fitness to go;40
Bagel Green Garden here;33
Bagel Green Garden to go;2
Bagel India here;27
Bagel India to go;6
Bagel Mexico here;60
Bagel Mexico to go;10
Bagel Morning Star here;22
Bagel Morning Star to go;1
Bagel Peanut Butter here;6
Bagel Peanut Butter to go;2
Bagel plain here;25
Bagel plain to go;64
Bagel Roma oder Florenz here;298
Bagel Roma oder Florenz to go;92
Bagel Stulle Deluxe here;87
Bagel Stulle Deluxe to go;27
Bagel Vital here;11
Bagel Vital to go;3
Brezel Butter here;16
Brezel Butter to go;2
Brezel plain here;63
Brezel plain to go;23
Cafe Creme groﬂ  here;107
Cafe Creme groﬂ  to go;104
Cafe Creme klein  here;301
Cafe Creme klein  to go;137
Caffe Latte mit Sirup here;61
Caffe Latte mit Sirup to go;47
Caffe Latte ohne Sirup here;403
Caffe Latte ohne Sirup to go;285
Cappuccino groﬂ  here;299
Cappuccino groﬂ  to go;179
Cappuccino klein  here;370
Cappuccino klein  to go;153
Chai Tea groﬂ Chai Banana here;20
Chai Tea groﬂ Chai Banana to go;10
Chai Tea groﬂ Chai Tea Latte here;123
Chai Tea groﬂ Chai Tea Latte to go;71
Chai Tea klein Chai Tea Latte here;81
Chai Tea klein Chai Tea Latte to go;34
Chocolate groﬂ Bio-Kakao here;4
Chocolate groﬂ Bio-Kakao to go;2
Chocolate groﬂ black here;51
Chocolate groﬂ black to go;37
Chocolate groﬂ Marshmallow Chocolate here;4
Chocolate groﬂ Marshmallow Chocolate to go;1
Chocolate groﬂ white here;14
Chocolate groﬂ white to go;12
Chocolate klein Bio-Kakao here;10
Chocolate klein Bio-Kakao to go;2
Chocolate klein black here;64
Chocolate klein black to go;21
Chocolate klein white here;23
Chocolate klein white to go;11
Cookie here;151
Cookie to go;110
Cool Latte Iced Caffe here;88
Cool Latte Iced Caffe to go;139
Cool Latte Iced Espresso here;25
Cool Latte Iced Espresso to go;30
Cool Latte Iced Macchiato here;120
Cool Latte Iced Macchiato to go;186
Donut here;151
Donut to go;137