 Zeit;01.04.11;02.04.11;03.04.11;04.04.11;05.04.11;06.04.11;07.04.11;08.04.11;09.04.11;10.04.11;11.04.11;12.04.11;13.04.11;14.04.11;15.04.11;16.04.11;17.04.11;18.04.11;19.04.11;20.04.11;21.04.11;22.04.11;23.04.11;24.04.11;25.04.11;26.04.11;27.04.11;28.04.11;29.04.11;30.04.11;31.04.11
06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07:00;4;0;0;4;9;8;2;9;0;0;12;4;6;3;16;0;0;11;11;21;1;0;0;0;0;2;4;3;5;0;0
08:00;17;1;0;17;17;7;19;13;0;0;15;17;20;15;19;0;0;19;15;20;16;0;4;0;0;13;14;21;15;0;0
09:00;21;12;0;20;40;15;12;24;16;0;31;31;17;29;29;21;0;21;20;22;11;0;20;0;0;23;17;13;14;15;0
10:00;18;16;1;22;13;36;25;21;24;0;29;23;26;31;20;22;1;19;14;14;5;0;31;0;3;26;20;16;26;35;0
11:00;22;46;12;15;25;24;12;35;32;12;19;12;22;27;31;27;18;22;34;18;37;17;53;8;17;45;44;35;25;51;0
12:00;34;51;21;53;65;35;48;48;56;43;62;47;52;74;38;65;27;57;66;30;57;28;43;15;35;53;55;39;42;69;0
13:00;51;76;52;99;65;39;46;39;95;37;50;54;72;55;41;85;32;57;38;92;52;29;74;21;20;52;60;75;87;69;0
14:00;47;128;56;44;24;46;36;38;90;62;43;27;49;46;43;103;61;30;47;37;75;50;98;21;69;64;60;55;32;100;0
15:00;56;112;100;29;49;49;67;63;120;103;34;29;44;47;45;123;74;42;56;49;65;67;107;46;42;46;91;51;67;100;0
16:00;69;137;84;67;44;52;64;55;108;64;52;13;59;47;54;123;91;39;45;56;54;48;79;27;56;65;71;66;61;87;0
17:00;56;69;44;28;48;25;43;53;64;26;29;31;32;50;48;81;33;57;32;47;24;24;53;22;35;60;51;56;34;64;0
18:00;45;36;21;37;20;25;38;28;39;17;20;22;19;41;31;46;15;31;29;21;23;24;28;12;22;27;29;34;29;34;0
19:00;10;9;3;4;8;17;21;19;27;12;19;14;14;9;6;11;11;15;13;28;16;12;11;1;10;15;8;25;15;6;0
20:00;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0