 Zeit;01.03.11;02.03.11;03.03.11;04.03.11;05.03.11;06.03.11;07.03.11;08.03.11;09.03.11;10.03.11;11.03.11;12.03.11;13.03.11;14.03.11;15.03.11;16.03.11;17.03.11;18.03.11;19.03.11;20.03.11;21.03.11;22.03.11;23.03.11;24.03.11;25.03.11;26.03.11;27.03.11;28.03.11;29.03.11;30.03.11;31.03.11
06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07:00;5;10;8;7;0;0;7;9;8;3;12;0;0;8;9;4;2;3;0;0;14;13;10;13;11;0;0;11;5;9;9
08:00;16;14;34;29;0;0;15;15;9;9;12;0;0;15;17;19;34;21;0;0;17;15;23;23;14;0;0;18;14;11;15
09:00;30;30;21;20;16;0;13;17;20;10;13;9;0;7;34;36;24;18;12;0;15;10;11;23;41;14;0;14;30;21;9
10:00;19;23;33;28;52;0;32;22;21;20;12;16;1;15;9;17;22;32;20;0;21;19;22;16;30;26;31;19;17;20;22
11:00;31;35;32;29;52;8;30;14;18;25;22;49;23;25;30;21;21;26;57;10;25;41;18;26;33;38;26;22;44;21;27
12:00;55;39;52;44;82;32;51;49;61;70;41;66;29;77;55;95;44;61;60;24;73;53;58;62;53;58;48;58;45;48;47
13:00;62;54;56;53;104;33;70;74;55;59;65;94;42;54;81;38;47;48;91;56;60;66;69;41;55;84;46;61;50;74;36
14:00;50;61;45;44;114;56;59;54;61;59;65;126;63;37;42;33;42;53;92;102;41;47;51;50;53;104;105;47;42;41;28
15:00;71;38;32;73;127;94;63;50;47;49;66;142;58;34;54;69;50;45;134;122;38;41;58;55;78;113;78;38;45;37;31
16:00;53;48;66;83;136;112;66;75;69;56;82;135;81;42;70;62;42;42;112;137;47;37;67;57;83;113;70;46;60;48;52
17:00;34;55;28;76;84;51;46;23;68;56;51;96;50;34;60;23;44;28;87;60;45;64;56;36;44;54;8;47;46;33;34
18:00;20;21;29;32;35;19;29;30;23;29;21;43;6;18;22;13;17;23;55;22;34;14;20;32;40;19;14;38;37;33;33
19:00;4;16;4;12;13;2;14;8;15;11;6;2;2;12;5;14;4;13;14;5;3;4;5;6;17;5;0;24;11;5;12
20:00;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0