Bagel Cream Cheese here;54
Bagel Cream Cheese to go;35
Bagel Fitness here;138
Bagel Fitness to go;40
Bagel Green Garden here;37
Bagel Green Garden to go;13
Bagel India here;32
Bagel Mexico here;55
Bagel Mexico to go;6
Bagel Morning Star here;39
Bagel Morning Star to go;1
Bagel Peanut Butter here;9
Bagel plain here;45
Bagel plain to go;59
Bagel Roma oder Florenz here;280
Bagel Roma oder Florenz to go;104
Bagel Stulle Deluxe here;106
Bagel Stulle Deluxe to go;43
Bagel Vital here;9
Bagel Vital to go;2
Brezel Butter here;23
Brezel plain here;71
Brezel plain to go;22
Cafe Creme groﬂ  here;126
Cafe Creme groﬂ  to go;107
Cafe Creme klein  here;390
Cafe Creme klein  to go;162
Caffe Latte mit Sirup here;81
Caffe Latte mit Sirup to go;72
Caffe Latte ohne Sirup bring in;1
Caffe Latte ohne Sirup here;553
Caffe Latte ohne Sirup to go;399
Cappuccino groﬂ  here;354
Cappuccino groﬂ  to go;266
Cappuccino klein  here;535
Cappuccino klein  to go;223
Chai Tea groﬂ Chai Banana here;31
Chai Tea groﬂ Chai Banana to go;15
Chai Tea groﬂ Chai Chocolate here;3
Chai Tea groﬂ Chai Tea Latte bring in;1
Chai Tea groﬂ Chai Tea Latte here;234
Chai Tea groﬂ Chai Tea Latte to go;112
Chai Tea klein Chai Banana here;2
Chai Tea klein Chai Tea Latte here;141
Chai Tea klein Chai Tea Latte to go;57
Chocolate groﬂ Bio-Kakao here;9
Chocolate groﬂ Bio-Kakao to go;2
Chocolate groﬂ black here;111
Chocolate groﬂ black to go;44
Chocolate groﬂ Marshmallow Chocolate here;18
Chocolate groﬂ Marshmallow Chocolate to go;2
Chocolate groﬂ white here;26
Chocolate groﬂ white to go;28
Chocolate klein Bio-Kakao here;11
Chocolate klein Bio-Kakao to go;5
Chocolate klein black here;142
Chocolate klein black to go;47
Chocolate klein white here;40
Chocolate klein white to go;16
Cookie here;219
Cookie to go;140
Cool Latte Iced Caffe here;15
Cool Latte Iced Caffe to go;37
Cool Latte Iced Espresso here;14
Cool Latte Iced Espresso to go;7
Cool Latte Iced Macchiato here;39
Cool Latte Iced Macchiato to go;49
Donut here;226
Donut to go;162
