 Zeit,01.05.11,02.05.11,03.05.11,04.05.11,05.05.11,06.05.11,07.05.11,08.05.11,09.05.11,10.05.11,11.05.11,12.05.11,13.05.11,14.05.11,15.05.11,16.05.11,17.05.11,18.05.11,19.05.11,20.05.11,21.05.11,22.05.11,23.05.11,24.05.11,25.05.11,26.05.11,27.05.11,28.05.11,29.05.11,30.05.11,31.05.11
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,0,9,4,4,7,3,0,0,4,4,10,4,5,0,0,3,3,9,6,4,0,0,3,3,10,8,10,0,0,8,7
08:00,0,14,13,11,21,16,0,0,11,16,23,8,25,0,0,15,16,12,8,14,1,0,17,24,22,25,30,0,0,9,10
09:00,0,18,19,24,35,27,22,0,24,21,24,17,21,33,0,24,13,30,41,32,15,0,15,27,16,33,33,22,0,16,26
10:00,0,22,13,37,15,21,25,0,12,16,22,12,17,19,8,8,33,26,26,21,13,4,15,23,18,14,15,20,0,14,24
11:00,10,22,16,24,24,22,45,13,27,27,16,18,21,19,22,21,17,31,35,25,51,14,23,27,31,24,52,20,17,17,21
12:00,11,63,68,54,37,40,52,18,43,51,58,45,39,67,43,71,52,51,27,62,49,16,52,36,63,44,49,41,26,65,35
13:00,26,48,56,50,41,42,80,31,63,45,55,49,36,68,15,73,55,50,52,47,75,30,40,40,60,60,43,55,39,55,73
14:00,49,35,30,53,22,38,89,53,41,14,33,32,49,88,64,28,30,35,32,47,63,68,23,26,45,35,61,83,50,33,27
15:00,89,35,43,48,40,60,109,61,46,35,37,32,47,116,72,39,54,43,50,44,109,72,53,37,40,33,51,64,51,38,33
16:00,55,34,25,47,55,36,96,45,50,28,43,55,42,80,62,48,52,60,40,52,78,49,40,39,43,40,52,75,46,29,48
17:00,26,23,43,38,35,43,57,22,24,20,40,52,31,73,54,25,23,38,41,38,63,28,42,41,24,29,30,51,24,37,28
18:00,19,37,26,24,29,27,36,19,25,25,21,21,38,27,18,32,19,23,27,25,38,14,19,21,21,24,37,22,17,26,18
19:00,8,12,14,8,21,38,14,10,2,16,8,9,13,3,3,6,12,16,7,15,7,4,9,11,11,10,9,13,9,14,4
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
