Bagel Cream Cheese here;44
Bagel Cream Cheese to go;23
Bagel Fitness here;110
Bagel Fitness to go;39
Bagel Green Garden here;33
Bagel Green Garden to go;6
Bagel India here;28
Bagel India to go;6
Bagel Mexico here;84
Bagel Mexico to go;11
Bagel Morning Star here;20
Bagel Morning Star to go;2
Bagel Peanut Butter here;4
Bagel Peanut Butter to go;1
Bagel plain here;14
Bagel plain to go;40
Bagel Roma oder Florenz here;245
Bagel Roma oder Florenz to go;93
Bagel Stulle Deluxe here;83
Bagel Stulle Deluxe to go;33
Bagel Vital here;10
Bagel Vital to go;2
Brezel Butter here;19
Brezel Butter to go;1
Brezel plain here;64
Brezel plain to go;26
Cafe Creme groﬂ  here;112
Cafe Creme groﬂ  to go;64
Cafe Creme klein  here;333
Cafe Creme klein  to go;136
Caffe Latte mit Sirup here;58
Caffe Latte mit Sirup to go;41
Caffe Latte ohne Sirup bring in;4
Caffe Latte ohne Sirup here;354
Caffe Latte ohne Sirup to go;274
Cappuccino groﬂ  here;236
Cappuccino groﬂ  to go;153
Cappuccino klein  here;402
Cappuccino klein  to go;117
Chai Tea groﬂ Chai Banana here;12
Chai Tea groﬂ Chai Banana to go;4
Chai Tea groﬂ Chai Tea Latte here;81
Chai Tea groﬂ Chai Tea Latte to go;41
Chai Tea klein Chai Banana here;1
Chai Tea klein Chai Tea Latte here;80
Chai Tea klein Chai Tea Latte to go;28
Chocolate groﬂ Bio-Kakao here;4
Chocolate groﬂ Bio-Kakao to go;2
Chocolate groﬂ black here;32
Chocolate groﬂ black to go;17
Chocolate groﬂ white here;24
Chocolate groﬂ white to go;6
Chocolate klein Bio-Kakao here;7
Chocolate klein black here;73
Chocolate klein black to go;13
Chocolate klein mit Sirup here;1
Chocolate klein white here;14
Chocolate klein white to go;9
Cookie here;161
Cookie to go;131
Cool Latte Iced Caffe here;102
Cool Latte Iced Caffe to go;127
Cool Latte Iced Espresso here;25
Cool Latte Iced Espresso to go;27
Cool Latte Iced Macchiato here;173
Cool Latte Iced Macchiato to go;163
Donut here;140
Donut to go;116